Country,UN_code,Population
Afghanistan,AFG,35530081
Albania,ALB,2873457
Algeria,DZA,41318142
Andorra,AND,76965
Angola,AGO,29784193
Antigua,,102012
Argentina,ARG,44271041
Armenia,ARM,2930450
Aruba,ABW,105264
Australia,AUS,24598933
Austria,AUT,8809212
Azerbaijan,AZE,9862429
Bahamas,,395361
Bahrain,BHR,1492584
Bangladesh,BGD,164669751
Barbados,BRB,285719
Belarus,BLR,9507875
Belgium,BEL,11372068
Belize,BLZ,374681
Benin,BEN,11175692
Bermuda,BMU,65441
Bhutan,BTN,807610
Bolivia,BOL,11051600
Bosnia and Herzegovina,BIH,3507017
Botswana,BWA,2291661
Brazil,BRA,209288278
British Virgin Islands,VGB,31196
Brunei,,428697
Bulgaria,BGR,7075991
Burkina Faso,BFA,19193382
Burundi,BDI,10864245
Cambodia,KHM,16005373
Cameroon,CMR,24053727
Canada,CAN,36708083
Cape Verde,,546388
Cayman Islands,CYM,61559
Central African Republic,CAF,4659080
Chad,TCD,14899994
Chile,CHL,18054726
China,CHN,1386395000
Colombia,COL,49065615
Congo,,5260750
Costa Rica,CRI,4905769
Croatia,HRV,4125700
Cuba,CUB,11484636
Cyprus,CYP,1179551
Czech Republic,CZE,10591323
Cote dIvoire,,24294750
North Korea,,25490965
DR Congo,,81339988
Denmark,DNK,5769603
Djibouti,DJI,956985
Dominican Republic,DOM,10766998
Ecuador,ECU,16624858
Egypt,,97553151
El Salvador,SLV,6377853
Eritrea,ERI,4474690
Estonia,EST,1315480
Ethiopia,ETH,104957438
Fiji,FJI,905502
Finland,FIN,5511303
France,FRA,67118648
French Polynesia,PYF,283007
Gabon,GAB,2025137
Gambia,,2100568
Georgia,GEO,3717100
Germany,DEU,82695000
Ghana,GHA,28833629
Greece,GRC,10760421
Greenland,GRL,56171
Guatemala,GTM,16913503
Guinea,GIN,12717176
Guyana,GUY,777859
Haiti,HTI,10981229
Honduras,HND,9265067
Hong Kong,,7391700
Hungary,HUN,9781127
Iceland,ISL,341284
India,IND,1339180127
Indonesia,IDN,263991379
Iran,,81162788
Iraq,IRQ,38274618
Ireland,IRL,4813608
Israel,ISR,8712400
Italy,ITA,60551416
Jamaica,JAM,2890299
Japan,JPN,126785797
Jordan,JOR,9702353
Kazakhstan,KAZ,18037646
Kenya,KEN,49699862
Kuwait,KWT,4136528
Kyrgyzstan,,6201500
Laos,,6858160
Latvia,LVA,1940740
Lebanon,LBN,6082357
Lesotho,LSO,2233339
Liberia,LBR,4731906
Libya,LBY,6374616
Liechtenstein,LIE,37922
Lithuania,LTU,2827721
Luxembourg,LUX,599449
Macao SAR,,622567
Madagascar,MDG,25570895
Malawi,MWI,18622104
Malaysia,MYS,31624264
Maldives,MDV,436330
Mali,MLI,18541980
Malta,MLT,465292
Mauritania,MRT,4420184
Mauritius,MUS,1264613
Mexico,MEX,129163276
Monaco,MCO,38695
Mongolia,MNG,3075647
Montenegro,MNE,622471
Morocco,MAR,35739580
Mozambique,MOZ,29668834
Myanmar,MMR,53370609
Namibia,NAM,2533794
Nepal,NPL,29304998
Netherlands,NLD,17132854
Netherlands Antilles,,227049
New Caledonia,NCL,280460
New Zealand,NZL,4793900
Nicaragua,NIC,6217581
Niger,NER,21477348
Nigeria,NGA,190886311
Norway,NOR,5282223
Gaza Strip,,1816000
Oman,OMN,4636262
Pakistan,PAK,197015955
Panama,PAN,4098587
Papua New Guinea,PNG,8251162
Paraguay,PRY,6811297
Peru,PER,32165485
Philippines,PHL,104918090
Poland,POL,37975841
Portugal,PRT,10293718
Qatar,QAT,2639211
South Korea,,51466201
Moldova,MDA,3549750
Romania,ROU,19586539
Russia,,144495044
Rwanda,RWA,12208407
Samoa,WSM,196440
San Marino,SMR,33400
Sao Tome and Principe,STP,204327
Saudi Arabia,SAU,32938213
Senegal,SEN,15850567
Serbia,SRB,7022268
Seychelles,SYC,95843
Sierra Leone,SLE,7557212
Singapore,SGP,5612253
Slovakia,,5439892
Slovenia,SVN,2066748
Somalia,SOM,14742523
South Africa,ZAF,56717156
South Sudan,SSD,12575714
Spain,ESP,46572028
Sri Lanka,LKA,21444000
Sudan,SDN,40533330
Suriname,SUR,563402
Swaziland,SWZ,1367254
Sweden,SWE,10067744
Switzerland,CHE,8466017
Syria,,18269868
Taiwan,,"23,052,000"
Tajikistan,TJK,8921343
Thailand,THA,69037513
TFYR Macedonia,,2083160
Togo,TGO,7797694
Trinidad and Tobago,TTO,1369125
Tunisia,TUN,11532127
Turkey,TUR,80745020
Turkmenistan,TKM,5758075
Former USSR,,0
Uganda,UGA,42862958
Ukraine,UKR,44831159
UAE,,9400145
UK,,66022273
Tanzania,TZA,57310019
USA,,325719178
Uruguay,URY,3456750
Uzbekistan,UZB,32387200
Vanuatu,VUT,276244
Venezuela,,31977065
Viet Nam,,95540800
Yemen,,28250420
Zambia,ZMB,17094130
Zimbabwe,ZWE,16529904
